file_path,type,is_watercolor,confidence,details
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/images/painting/20251018-192727743+1.jpg,image,True,0.9477651715278625,Top: a watercolor painting
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/images/painting/20251010-102742791.jpg,image,False,0.2690759599208832,Top: an oil painting
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/images/painting/20251013-115202048.jpg,image,False,0.009001138620078564,Top: an oil painting
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/images/painting/20251112-165304192.jpg,image,True,0.6265154480934143,Top: a watercolor painting
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/images/painting/20251031-134138329.jpg,image,True,0.966850996017456,Top: a watercolor painting
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/images/painting/20251027-181412560+1.jpg,image,True,0.9349600076675415,Top: a watercolor painting
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/images/painting/20251009-190628213.jpg,image,False,0.011037060990929604,Top: a photograph
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/images/painting/20251007-130214455.jpg,image,False,0.05123533308506012,Top: an oil painting
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/images/painting/20251013-120541289.jpg,image,False,0.00124865653924644,Top: an oil painting
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/images/painting/20251015-103737674.jpg,image,False,0.014411735348403454,Top: a photograph
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/images/painting/20251106-093421000+1.png,image,True,0.8090837597846985,Top: a watercolor painting
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/images/painting/20251108-124709601.jpg,image,True,0.9362764358520508,Top: a watercolor painting
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/images/painting/20251015-103747185.jpg,image,False,0.014237388037145138,Top: a photograph
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/images/painting/20251028-143244188.jpg,image,True,0.9322701692581177,Top: a watercolor painting
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/images/painting/20251106-102443000.png,image,True,0.9796366691589355,Top: a watercolor painting
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/images/painting/20251009-111230753.jpg,image,True,0.9817548394203186,Top: a watercolor painting
