folder,filename,type,is_watercolor,confidence,processed_frames,planned_frames,total_frames,watercolor_frames_count,watercolor_frames_percent,avg_watercolor_confidence
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251001-194956000.mov,video,False,0.08879779174458236,16,16,444,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251010-105552000.mov,video,False,0.07432981878519059,20,20,572,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251005-183737000.mov,video,False,0.0701657820922824,13,13,374,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251001-175522000.mov,video,False,0.054613599670119584,4,4,85,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251005-193006000.mov,video,False,0.015018384014679627,11,11,315,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251007-173807000.mov,video,False,0.058364147506654265,15,15,421,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251002-121706000.mov,video,False,0.03883692871646157,14,14,397,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251004-134859000.mov,video,False,0.05169943533837795,5,5,139,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251014-121343000.mov,video,False,0.05632868573150557,23,23,654,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251108-224432000.mov,video,False,0.010448569696481254,11,11,311,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251003-125503000.mov,video,False,0.08377841936770636,39,39,1103,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251006-134710000.mp4,video,False,0.06734214471105267,17,17,471,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251004-104722000.mov,video,False,0.09712388208852364,13,13,363,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251002-124731000.mov,video,False,0.19436461159161159,7,7,181,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251009-181812000.mov,video,False,0.05083527850608031,18,18,499,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251002-140635000.mov,video,False,0.048343689594831735,9,9,264,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251004-134908000.mov,video,False,0.04735042793410165,7,7,198,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251014-121408000.mov,video,False,0.05562750510244559,52,52,1507,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251005-110627000.mov,video,False,0.014060177840292454,4,4,102,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251010-113251000.mov,video,False,0.0783495684819562,14,14,387,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251006-151254000.mov,video,True,0.7713930851055516,9,9,244,7,0.7777777777777778,0.9775476285389492
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251007-143436000.mov,video,False,0.04420761808675403,12,12,327,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251001-104601000.mov,video,False,0.019131474080495536,8,8,231,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251002-121043000.mov,video,False,0.01931310379698586,13,13,371,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251003-125550000.mov,video,False,0.03210398436058313,15,16,435,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251027-114814000.mov,video,False,0.11761545389890671,3,4,21,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251013-105546000.mov,video,False,0.04190016131509434,11,11,312,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251005-110549000.mov,video,False,0.025203416922262738,7,7,192,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251002-115958000.mov,video,False,0.024613433248864915,13,13,354,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251006-125528000.mov,video,True,0.8254417719882589,43,43,1236,37,0.8604651162790697,0.9372403766657855
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251005-193024000.mov,video,False,0.028565941005945207,5,5,139,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251012-165511000.mov,video,False,0.1127620628476143,25,25,724,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251110-202822000.mov,video,True,0.8642164062369954,44,448,12972,44,1.0,0.8642164062369954
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251027-181556000.mov,video,True,0.9693243573693668,17,173,5009,17,1.0,0.9693243573693668
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251018-140917000.mov,video,True,0.8407794063289961,60,60,1778,57,0.95,0.8635353100927252
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251101-204911000.mov,video,True,0.9709553332889781,17,17,503,17,1.0,0.9709553332889781
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251027-115649000.mov,video,True,0.7929394814505506,67,67,1983,67,1.0,0.7929394814505506
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251027-141603000.mov,video,True,0.9151912865042686,100,100,2897,96,0.96,0.9525632367779812
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251008-133500000.mov,video,False,0.31435735222811884,13,13,353,3,0.23076923076923078,0.9039642413457235
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251110-202822000+1.mov,video,True,0.9658481339613597,30,30,878,30,1.0,0.9658481339613597
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251111-195202000.mov,video,True,0.5327487340676348,577,577,16705,315,0.5459272097053726,0.8148093564169747
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251006-133416000.mov,video,True,0.897705006502082,199,1991,57710,190,0.9547738693467337,0.9221714816595379
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251020-191042000.mov,video,True,0.8956431183815002,1000,1000,28986,942,0.942,0.926928838473723
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251008-145650000.mov,video,False,0.4243311367928982,20,20,559,6,0.3,0.9497298101584116
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251024-201651000.mov,video,True,0.7617882736797991,29,291,8413,25,0.8620689655172413,0.8291319274902343
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251025-123710000.mov,video,True,0.6091832142809163,23,238,6873,19,0.8260869565217391,0.6395378646097685
